"id","meal_id","ingredient_name","quantity","unit","is_optional","order_index"
1,1,"oil","15.0","ml",False,NULL
2,1,"turmeric","1.25","g",False,NULL
3,1,"salt","2.5","g",True,NULL
4,1,"coriander","90.0","g",False,NULL
5,1,"clove","0.4","g",False,NULL
6,1,"strand mace","1.0",NULL,False,NULL
7,1,"white sesame seeds","15.0","g",False,NULL
8,1,"cinnamon","1.0",NULL,False,NULL
9,1,"cardamom","0.8","g",False,NULL
10,1,"cumin","5.0","g",False,NULL
11,2,"cashew","18.0","g",False,NULL
12,2,"water","2670.0","ml",False,NULL
13,2,"bay leaf","1.0",NULL,False,NULL
14,2,"star anise","1.0",NULL,True,NULL
15,2,"strand mace","1.0",NULL,True,NULL
16,2,"cumin","2.5","g",False,NULL
17,2,"cardamom","0.4","g",False,NULL
18,2,"clove","0.3","g",False,NULL
19,2,"cinnamon","1.0",NULL,False,NULL
20,2,"oil","30.0","ml",False,NULL
21,2,"green chili","5.0","g",True,NULL
22,2,"green peas","180.0","g",False,NULL
23,2,"coriander","30.0","g",False,NULL
24,2,"turmeric","1.25","g",False,NULL
25,2,"garam masala","5.0","g",False,NULL
26,4,"turmeric","0.62","g",True,NULL
27,4,"salt","2.5","g",True,NULL
28,4,"oil","5.0","ml",False,NULL
29,4,"onion","240.0","g",False,NULL
30,4,"sugar","5.0","g",True,NULL
31,5,"onion","180.0","g",False,NULL
32,5,"capsicum","80.0","g",False,NULL
33,5,"cumin","2.5","g",False,NULL
34,5,"cardamom","0.4","g",False,NULL
35,5,"garlic","5.0","g",False,NULL
36,5,"red chili","5.0","g",False,NULL
37,5,"garam masala","3.75","g",False,NULL
38,5,"salt","2.5","g",True,NULL
39,5,"water","180.0","ml",True,NULL
40,5,"oil","15.0","ml",False,NULL
41,5,"chili","10.0","g",False,NULL
42,6,"rice","480.0","g",False,NULL
43,6,"urad dal","120.0","g",False,NULL
44,6,"fenugreek","5.0","g",False,NULL
45,6,"potato","600.0","g",False,NULL
46,6,"mustard","5.0","g",False,NULL
47,6,"curry leaves","10.0",NULL,False,NULL
48,6,"chili","10.0","g",False,NULL
49,6,"turmeric","2.5","g",False,NULL
50,6,"ginger","1.0",NULL,False,NULL
51,6,"onion","100.0","g",False,NULL
52,6,"oil",NULL,NULL,True,NULL
53,6,"salt",NULL,NULL,True,NULL
54,7,"garlic","240.0","g",False,NULL
55,7,"water","240.0","ml",True,NULL
56,7,"mustard","10.0","g",False,NULL
57,7,"fenugreek",NULL,NULL,False,NULL
58,7,"red chili","4.0","g",False,NULL
59,7,"asafoetida",NULL,NULL,False,NULL
60,7,"curry leaves",NULL,NULL,False,NULL
61,7,"onion","100.0","g",False,NULL
62,7,"tomato","100.0","g",False,NULL
63,7,"carrot","100.0","g",False,NULL
64,7,"potato","300.0","g",False,NULL
65,7,"salt",NULL,NULL,True,NULL
66,7,"chili","10.0","g",False,NULL
67,7,"sambar masala","10.0","g",False,NULL
68,7,"jaggery","5.0","g",False,NULL
69,8,"yogurt","240.0","ml",False,NULL
70,8,"honey","15.0","g",False,NULL
71,8,"mixed nuts","30.0","g",False,NULL
72,8,"berries","120.0","g",False,NULL
73,8,"chia seeds","5.0","g",False,NULL
74,9,"coffee","15.0","g",False,NULL
75,9,"water","240.0","ml",False,NULL
76,10,"water","60.0","ml",False,NULL
77,10,"milk","480.0","ml",False,NULL
78,11,"almond","42.0","g",False,NULL
79,11,"milk","540.0","ml",False,NULL
80,11,"cardamom","0.8","g",False,NULL
81,11,"sauce",NULL,NULL,False,NULL
82,11,"saffron",NULL,NULL,False,NULL
83,12,"rice","360.0","g",False,NULL
84,12,"onion","100.0","g",False,NULL
85,12,"chili","5.0","g",False,NULL
86,12,"mustard","5.0","g",False,NULL
87,12,"turmeric","2.5","g",False,NULL
88,12,"coriander","30.0","g",False,NULL
89,12,"lemon","50.0","g",False,NULL
90,12,"oil","30.0","ml",False,NULL
91,12,"salt",NULL,NULL,True,NULL
92,13,"semolina","240.0","g",False,NULL
93,13,"ghee","45.0","ml",False,NULL
94,13,"moong dal","15.0","g",False,NULL
95,13,"urad dal","5.0","g",False,NULL
96,13,"chana dal","5.0","g",False,NULL
97,13,"mustard","5.0","g",False,NULL
98,13,"asafoetida",NULL,NULL,False,NULL
99,13,"curry leaves","8.0",NULL,False,NULL
100,13,"cashew","15.0","g",False,NULL
